date,country,name,is_bank
1/7/2026,ethiopia,Ethiopian Christmas Day,1
1/19/2026,ethiopia,Epiphany / Timkat,1
3/2/2026,ethiopia,Adwa Victory Day,1
3/20/2026,ethiopia,March Equinox,1
4/22/2026,ethiopia,Ethiopian Good Friday,1
4/24/2026,ethiopia,Ethiopian Easter Sunday,1
5/1/2026,ethiopia,International Labor Day,1
5/3/2026,ethiopia,Eid ul Fitr,1
5/5/2026,ethiopia,Patriots' Day,1
5/28/2026,ethiopia,Derg Downfall Day,1
6/21/2026,ethiopia,June Solstice,1
7/10/2026,ethiopia,Eid al-Adha,1
9/11/2026,ethiopia,Ethiopian New Year,1
9/23/2026,ethiopia,September Equinox,1
9/27/2026,ethiopia,Meskel,1
10/8/2026,ethiopia,The Prophet's Birthday (Tentative Date),1
12/22/2026,ethiopia,December Solstice,1
1/1/2026,egypt,New Year's Day,1
1/6/2026,egypt,Orthodox Christmas Eve,1
1/7/2026,egypt,Orthodox Christmas Day,1
1/25/2026,egypt,Revolution Day January 25,1
1/29/2026,egypt,Revolution Day January 25 (Observed),1
3/20/2026,egypt,March Equinox,1
3/21/2026,egypt,Festival of Breaking the Fast,1
3/22/2026,egypt,Second Day of the Festival of Breaking the Fast,1
3/23/2026,egypt,Third Day of the Festival of Breaking the Fast,1
4/12/2026,egypt,Orthodox Easter,1
4/13/2026,egypt,Spring Festival,1
4/25/2026,egypt,Sinai Liberation Day,1
5/1/2026,egypt,Labor Day,1
5/26/2026,egypt,Arafat Day,1
5/27/2026,egypt,Feast of the Sacrifice,1
5/28/2026,egypt,Second Day of the Feast of the Sacrifice,1
5/29/2026,egypt,Third Day of the Feast of the Sacrifice,1
1/1/2026,nigeria,New Year’s Day,1
3/8/2026,nigeria,Women’s Day,1
3/15/2026,nigeria,Mother’s Day,1
3/20/2026,nigeria,Festival of Breaking the Fast,1
3/20/2026,nigeria,March Equinox,1
4/3/2026,nigeria,Good Friday,1
4/4/2026,nigeria,Holy Saturday,1
4/5/2026,nigeria,Easter,1
4/6/2026,nigeria,Easter Monday,1
5/1/2026,nigeria,Workers’ Day,1
5/27/2026,nigeria,Children’s Day,1
5/28/2026,nigeria,Feast of the Sacrifice,1
6/12/2026,nigeria,Democracy Day,1
6/16/2026,nigeria,Islamic New Year’s Day,1
6/21/2026,nigeria,Father’s Day,1
6/21/2026,nigeria,June Solstice,1
8/25/2026,nigeria,Birth of the Prophet,1
9/23/2026,nigeria,September Equinox,1
10/1/2026,nigeria,Independence Day,1
12/21/2026,nigeria,December Solstice,1
12/22/2026,nigeria,Sambisa Memorial Day,1
12/24/2026,nigeria,Christmas Eve,1
12/25/2026,nigeria,Christmas Day,1
12/26/2026,nigeria,Boxing Day,1
12/28/2026,nigeria,Boxing Day (Observed),1
12/31/2026,nigeria,New Year’s Eve,1
1/1/2026,algeria,New Year's Day,1
1/12/2026,algeria,Amazigh New Year’s Day,1
2/22/2026,algeria,Fraternity and Cohesion Day,1
3/20/2026,algeria,Festival of Breaking the Fast,1
3/20/2026,algeria,March Equinox,1
5/1/2026,algeria,Labor Day,1
5/28/2026,algeria,Feast of the Sacrifice,1
5/31/2026,algeria,Mother’s Day,1
6/16/2026,algeria,Islamic New Year’s Day,1
6/21/2026,algeria,Father’s Day,1
6/21/2026,algeria,June Solstice,1
6/26/2026,algeria,Ashura,1
7/5/2026,algeria,Independence Day,1
8/25/2026,algeria,Birth of the Prophet,1
9/23/2026,algeria,September Equinox,1
11/1/2026,algeria,Revolution Day,1
12/21/2026,algeria,December Solstice,1
12/31/2026,algeria,New Year's Eve,1
1/1/2026,zambia,New Year's Day,1
1/12/2026,zambia,Amazigh New Year’s Day,1
2/22/2026,zambia,Fraternity and Cohesion Day,1
3/8/2026,zambia,Women's Day / International Women's Day,1
3/12/2026,zambia,Youth Day,1
3/15/2026,zambia,Mother's Day,1
3/20/2026,zambia,Festival of Breaking the Fast,1
3/20/2026,zambia,March Equinox,1
4/3/2026,zambia,Good Friday,1
4/4/2026,zambia,Holy Saturday,1
4/5/2026,zambia,Easter,1
4/6/2026,zambia,Easter Monday,1
5/1/2026,zambia,Workers' Day / Labor Day,1
5/10/2026,zambia,Mother's Day,1
5/25/2026,zambia,Africa Day,1
5/27/2026,zambia,Children's Day,1
5/28/2026,zambia,Feast of the Sacrifice,1
5/31/2026,zambia,Mother’s Day,1
6/12/2026,zambia,Democracy Day,1
6/16/2026,zambia,Islamic New Year's Day,1
6/21/2026,zambia,Father's Day,1
6/21/2026,zambia,June Solstice,1
6/26/2026,zambia,Ashura,1
7/5/2026,zambia,Independence Day,1
7/6/2026,zambia,Heroes' Day,1
7/7/2026,zambia,Unity Day,1
8/3/2026,zambia,Farmers' Day,1
8/25/2026,zambia,Birth of the Prophet,1
9/23/2026,zambia,September Equinox,1
10/1/2026,zambia,Independence Day,1
10/18/2026,zambia,National Prayer Day,1
10/24/2026,zambia,Independence Day,1
11/1/2026,zambia,Revolution Day,1
12/21/2026,zambia,December Solstice,1
12/22/2026,zambia,Sambisa Memorial Day,1
12/24/2026,zambia,Christmas Eve,1
12/25/2026,zambia,Christmas Day,1
12/26/2026,zambia,Boxing Day,1
12/28/2026,zambia,Boxing Day (Observed),1
12/31/2026,zambia,New Year's Eve,1
