date,country,holiday_name,is_bank
1/1/2023,ethiopia,New Year's Day,1
1/6/2023,ethiopia,Orthodox Christmas Eve,0
1/7/2023,ethiopia,Orthodox Christmas Day,1
1/19/2023,ethiopia,Orthodox Epiphany,1
3/2/2023,ethiopia,Victory at Adwa Day,0
3/20/2023,ethiopia,March Equinox,1
3/22/2023,ethiopia,First Day of Ramadan,0
4/14/2023,ethiopia,Orthodox Good Friday,1
4/16/2023,ethiopia,Orthodox Easter,0
4/21/2023,ethiopia,Festival of Breaking the Fast,1
5/1/2023,ethiopia,International Workers' Day,0
5/5/2023,ethiopia,Ethiopian Patriots Victory Day,1
5/14/2023,ethiopia,Mother's Day,0
5/28/2023,ethiopia,Derg Downfall Day,0
6/18/2023,ethiopia,Father's Day,1
6/21/2023,ethiopia,June Solstice,1
6/28/2023,ethiopia,Feast of the Sacrifice,0
7/18/2023,ethiopia,Islamic New Year's Day,1
9/11/2023,ethiopia,Ethiopian New Year's Eve,1
9/12/2023,ethiopia,Ethiopian New Year's Day,0
9/23/2023,ethiopia,September Equinox,1
9/26/2023,ethiopia,Birth of the Prophet,0
9/28/2023,ethiopia,Finding of the True Cross,1
12/22/2023,ethiopia,December Solstice,0
12/31/2023,ethiopia,New Year's Eve,0
1/1/2023,algeria,New Year's Day,0
1/12/2023,algeria,Amazigh New Year's Day,1
2/22/2023,algeria,Fraternity and Cohesion Day,1
3/20/2023,algeria,Festival of Breaking the Fast,0
4/22/2023,algeria,March Equinox,0
5/1/2023,algeria,Labor Day,0
5/28/2023,algeria,Feast of the Sacrifice,0
6/18/2023,algeria,Mother's Day,1
6/21/2023,algeria,Islamic New Year's Day,0
6/29/2023,algeria,Father's Day,0
7/5/2023,algeria,June Solstice,0
7/19/2023,algeria,Ashura,0
7/28/2023,algeria,Independence Day,0
9/23/2023,algeria,Birth of the Prophet,1
9/27/2023,algeria,September Equinox,0
11/1/2023,algeria,Revolution Day,0
12/22/2023,algeria,December Solstice,1
12/31/2023,algeria,New Year's Eve,0
1/1/2023,zambia,New Year's Day,1
3/8/2023,zambia,International Women's Day,0
3/12/2023,zambia,Youth Day,1
3/20/2023,zambia,March Equinox,0
4/7/2023,zambia,Good Friday,0
4/8/2023,zambia,Holy Saturday,0
4/9/2023,zambia,Easter,0
4/10/2023,zambia,Easter Monday,0
5/1/2023,zambia,Labor Day,1
5/14/2023,zambia,Mother's Day,0
5/25/2023,zambia,Africa Day,0
6/18/2023,zambia,Father's Day,0
6/21/2023,zambia,June Solstice,0
7/3/2023,zambia,Heroes' Day,1
7/4/2023,zambia,Unity Day,0
8/7/2023,zambia,Farmers' Day,1
9/23/2023,zambia,September Equinox,0
10/13/2023,zambia,National Prayer Day,0
10/24/2023,zambia,Independence Day,1
12/22/2023,zambia,December Solstice,0
12/24/2023,zambia,Christmas Eve,0
12/25/2023,zambia,Christmas Day,1
12/31/2023,zambia,New Year's Eve,0
1/1/2023,nigeria,New Year's Day,0
3/8/2023,nigeria,Women's Day,0
3/19/2023,nigeria,March Equinox,1
3/20/2023,nigeria,Mother's Day,0
4/7/2023,nigeria,Festival of Breaking the Fast,0
4/8/2023,nigeria,Good Friday,0
4/9/2023,nigeria,Holy Saturday,0
4/10/2023,nigeria,Easter,0
4/22/2023,nigeria,Easter Monday,0
5/1/2023,nigeria,Workers' Day,0
5/27/2023,nigeria,Children's Day,0
6/12/2023,nigeria,Feast of the Sacrifice,0
6/18/2023,nigeria,Democracy Day,0
6/21/2023,nigeria,Father's Day,0
6/28/2023,nigeria,June Solstice,0
7/19/2023,nigeria,Islamic New Year's Day,0
9/23/2023,nigeria,Birth of the Prophet,0
9/27/2023,nigeria,September Equinox,0
10/1/2023,nigeria,Independence Day,0
12/22/2023,nigeria,December Solstice,0
12/24/2023,nigeria,Sembah Memorial Day,0
12/25/2023,nigeria,Christmas Eve,0
12/26/2023,nigeria,Christmas Day,0
12/28/2023,nigeria,Boxing Day,0
12/31/2023,nigeria,New Year's Eve,0
1/1/2023,egypt,New Year's Day,1
1/6/2023,egypt,Orthodox Christmas Eve,0
1/7/2023,egypt,Orthodox Christmas Day,1
1/25/2023,egypt,Revolution Day January 25,1
1/26/2023,egypt,March Equinox,0
3/20/2023,egypt,Festival of Breaking the Fast,1
4/16/2023,egypt,Second Day of the Festival of Breaking the Fast,1
4/17/2023,egypt,Third Day of the Festival of Breaking the Fast,1
4/20/2023,egypt,Orthodox Easter,1
4/21/2023,egypt,Spring Festival,1
4/22/2023,egypt,Sinai Liberation Day,1
4/23/2023,egypt,Labor Day,0
4/24/2023,egypt,Arafat Day,0
4/25/2023,egypt,Feast of the Sacrifice,0
5/1/2023,egypt,Second Day of the Feast of the Sacrifice,0
6/2/2023,egypt,Third Day of the Feast of the Sacrifice,0
6/27/2023,egypt,June Solstice,0
6/28/2023,egypt,Islamic New Year's Day,1
6/29/2023,egypt,Revolution Day June 30,0
6/30/2023,egypt,Revolution Day June 30 (Observed),0
6/30/2023,egypt,Revolution Day July 23,0
7/1/2023,egypt,Birth of the Prophet,0
7/20/2023,egypt,September Equinox,0
7/23/2023,egypt,Armed Forces Day,0
9/23/2023,egypt,Armed Forces Day (Observed),0
9/26/2023,egypt,December Solstice,0
10/8/2023,egypt,New Year's Eve,0
